Name,Description,Category,Cost,Condition,Address
바게트,프랑스를 대표하는 빵,Bread,10,0,재료 파일[재료 파일_0]
식빵,덩어리 빵을 먹기 편하게 미리 잘라 놓은 빵,Bread,10,0,재료 파일[재료 파일_5]
통곡물빵,통곡물을 함유하고 있는 빵,Bread,15,1,재료 파일[재료 파일_10]
플랫브레드,얇고 평평한 것이 특징인 빵,Bread,20,5,재료 파일[재료 파일_15]
브리오슈번,"버터, 설탕, 계란이 많이 들어간 프랑스 빵",Bread,30,9,재료 파일[재료 파일_20]
슈레드 치즈,블럭형태의 치즈를 작은 크기로 채썰 듯 자른 형태의 치즈,Cheese,20,0,재료 파일[재료 파일_6]
모짜렐라 치즈,이탈리아 남부 지역에서 유래한 물소 젖이나 우유로 만드는 생치즈,Cheese,20,0,재료 파일[재료 파일_11]
체다 체즈,"영국 서머싯주의 체더 지방에서 유래한 일반적으로 강한 맛을 지니며, 단단한 형태를 띠는 치즈",Cheese,35,2,재료 파일[재료 파일_1]
아메리칸 치즈,"1910년대에 체다, 콜비 또는 이와 유사한 치즈로 만든 가공 치즈",Cheese,40,6,재료 파일[재료 파일_16]
크림 치즈,수분의 양이 50% 이상이고 유지방 함량이 30% 이상에 발효숙성을 거치기 이전 단계의 신선한 치즈,Cheese,50,10,재료 파일[재료 파일_21]
올리브,특유의 짭조름한 맛과 향긋한 풍미로 톡톡한 사이드 메뉴,Vegetable,20,0,재료 파일[재료 파일_2]
할라피뇨,멕시코의 도시 할라파에서 유래된 고추,Vegetable,20,0,재료 파일[재료 파일_7]
피클,"오이를 소금, 식초, 설탕 등에 절인 국물이 있는 보존 식품",Vegetable,20,3,재료 파일[재료 파일_12]
아보카도,부드럽고 고소한 맛과 약간의 떫은맛이 특징인 과일,Vegetable,20,7,재료 파일[재료 파일_17]
양상추,양배추처럼 잎이 안으로 둥글게 말려 있는 결구성 상추,Vegetable,20,11,재료 파일[재료 파일_22]
피망,"특유의 맵싸한 맛과 향, 그리고 은근한 단맛과 아삭한 식감을 가진 채소",Vegetable,20,13,재료 파일[재료 파일_26]
토마토,"새콤, 달콤, 그리고 감칠맛을 가지 채소",Vegetable,20,15,재료 파일[재료 파일_29]
양파,특유의 매운맛과 단맛을 지닌 아삭아삭한 채소,Vegetable,20,17,재료2[재료2_2]
햄,돼지고기의 뒷다리살로 만드는 가공육,Main,40,0,재료 파일[재료 파일_3]
참치,참치의 살코기를 가공하여 깡통에 넣어 밀봉한 것,Main,40,0,재료 파일[재료 파일_8]
치킨,토막난 닭고기에 양념을 한 뒤 밀가루나 전분 등을 묻히고 끓는 기름에 튀긴 요리,Main,40,4,재료 파일[재료 파일_14]
베이컨,돼지고기를 사용한 서양음식의 일종으로 돼지고기의 배나 옆구리 살을 떼어다가 만드는 가공육,Main,40,8,재료 파일[재료 파일_19]
패티,진 고기와 기타 재료를 뭉쳐 둥글납작하게 모양을 내서 만든 덩어리 고기,Main,40,12,재료 파일[재료 파일_24]
미트볼,다진 고기를 동그랗게 뭉쳐서 조리하는 요리,Main,40,14,재료 파일[재료 파일_27]
페퍼로니,미국식으로 비교적 매콤하게 제조된 살라미,Main,40,16,재료 파일[재료 파일_30]
에그마요,삶은 계란을 다져서 마요네즈에 버무린 요리,Main,40,18,재료2[재료2_4]
새우,동남아 풍의 매운 양념을 바른 새우,Main,40,19,재료2[재료2_5]
마요네즈,식초와 기름에 유화제를 첨가하여 만든 프랑스식 반고체형 드레싱,Sauce,10,0,재료 파일[재료 파일_4]
허니 머스타드,약간의 머스타드와 단 것을 섞은 달콤한 소스,Sauce,10,0,재료 파일[재료 파일_9]
스위트 칠리,태국의 고추 소스인 남 찜 까이로 매콤한 소스,Sauce,10,0,재료 파일[재료 파일_15]
소금,짠맛이 나는 흰색의 가루,Sauce,10,0,재료 파일[재료 파일_20]
후추,고추와는 다른 매운맛을 지닌 향신료,Sauce,10,0,재료 파일[재료 파일_25]
올리브유,올리브 열매의 기름을 추출해서 만드는 식물성 기름,Sauce,10,0,재료 파일[재료 파일_28]
바베큐 소스,보통 식초와 토마토를 베이스로한 새콤달콤한 소스,Sauce,10,0,재료2[재료2_1]
과일잼,과일을 으깨어 설탕과 함께 졸인 음식,Sauce,10,0,재료2[재료2_3]
